SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,7704 9th Ave NW,Seattle,WA,98117,700000,3,2.5,Ballard,2360,4042,1930,1,Garage,1,Active,2015-11-21,13:00,16:00,,700000,2007-12-28,589000.0,http://www.redfin.com/WA/Seattle/7704-9th-Ave-NW-98117/home/496437,Northwest Multiple Listing Service (NWMLS),868068,Coldwell Banker Danforth,Y,Y,47.685337,-122.368021,false
MLS Listing,Single Family Residential,2052 NW 64th St,Seattle,WA,98117,644850,3,3.25,Ballard,1513,1041,2015,1,,6,Active,2015-11-21,14:00,16:00,,644850,,,http://www.redfin.com/WA/Seattle/2052-NW-64th-St-98107/home/101105887,Northwest Multiple Listing Service (NWMLS),869338,Real Property Associates,N,Y,47.675511,-122.384506,false
MLS Listing,Single Family Residential,2054 NW 64th St,Seattle,WA,98117,659850,3,2.5,Ballard,1513,754,2015,1,,19,Active,2015-11-21,14:00,16:00,,659850,,,http://www.redfin.com/WA/Seattle/2054-NW-64th-St-98107/home/101745265,Northwest Multiple Listing Service (NWMLS),864411,Real Property Associates,N,Y,47.6753105,-122.3845104,false
MLS Listing,Single Family Residential,2426 NW 64th St Unit B,Seattle,WA,98107,725000,3,2.25,Ballard,1913,1654,2015,1,,17,Active,2015-11-21,12:00,14:00,,725000,,,http://www.redfin.com/WA/Seattle/2426-NW-64th-St-98107/unit-B/home/101770993,Northwest Multiple Listing Service (NWMLS),865166,Keller Williams Downtown Sea,N,Y,47.675517,-122.3889,false
MLS Listing,Single Family Residential,7733 21st Ave NW,Seattle,WA,98117,647000,4,2.0,Loyal Heights,2100,4600,1941,1,Garage,6,Active,2015-11-22,13:00,16:00,,647000,2014-11-25,555000.0,http://www.redfin.com/WA/Seattle/7733-21st-Ave-NW-98117/home/164818,Northwest Multiple Listing Service (NWMLS),869235,Windermere R.E.N.W. Ballard,N,Y,47.68598,-122.383556,false
MLS Listing,Townhouse,1761 NW 59th St Unit B,Seattle,WA,98107,659950,2,2.0,Ballard,1496,1088,2015,1,Garage,47,Active,2015-11-21,13:00,16:00,2015-10-28,689950,,,http://www.redfin.com/WA/Seattle/1761-NW-59th-St-98107/unit-B/home/101390884,Northwest Multiple Listing Service (NWMLS),853867,Lake & Company,N,Y,47.671407,-122.381555,false
MLS Listing,Condo/Coop,2031 NW 59th St #103,Seattle,WA,98107,245000,1,1.0,Seattle,677,10000,1978,1,,1,Active,2015-11-21,13:00,16:00,,245000,2007-02-09,275000.0,http://www.redfin.com/WA/Seattle/2031-NW-59th-St-98107/unit-103/home/10114,Northwest Multiple Listing Service (NWMLS),871044,Keller Williams Greater Sea,N,Y,47.671409,-122.383596,false
MLS Listing,Condo/Coop,5450 Leary Ave NW #355,Seattle,WA,98107,398000,1,1.0,Ballard,872,27583,2007,1,Garage,8,Active,2015-11-21,13:00,16:00,,398000,,,http://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-355/home/101832947,Northwest Multiple Listing Service (NWMLS),866235,Windermere Real Estate Midtown,N,Y,47.668072,-122.38314,false
MLS Listing,Townhouse,1763 NW 59th St Unit B,Seattle,WA,98107,639950,2,2.5,Ballard,1490,873,2015,1,Garage,19,Active,2015-11-21,13:00,16:00,2015-11-12,649950,,,http://www.redfin.com/WA/Seattle/1763-NW-59th-St-98107/unit-B/home/101743901,Northwest Multiple Listing Service (NWMLS),864890,Lake & Company,N,Y,47.6716258,-122.3816137,false

